ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
776;StrainC;336.3;(Z)-3-(2,4-Dihydroxyphenyl)-Prop-2-Enoate;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;5;179.15;-1.89;Soluble;High;No;24.36233611442193;0.014530480352138;Significant Increase;NON-Mutagenic;-0.712;5155.0;5155.0;DEF;10;10;10;7;10;5;52
777;StrainB;682.0;3,6,7,2',4'-Pentamethylquercetagetin /2'-Hydroxy 3,6,7,3',4'-Pentamethylquercetagetin;Otro;Estabilidad Máxima;0;404.37;-3.94;Moderately soluble;High;No;1.808784653968684;0.0111938988032936;Significant Increase;NON-Mutagenic;-0.556;3595.0;3595.0;OTHER;5;10;10;10;10;10;55
778;StrainC;347.1;3,7,4'-Trimethylquercetagetin 3'-O-beta-D-Glucoside;Otro;Estabilidad Máxima;0;522.46;-3.2;Soluble;Low;No;3.271149674620391;0.002856759037673;Significant Increase;Mutagenic;-0.359;2284.0;2284.0;OTHER;10;3;10;10;10;10;53
779;StrainC;176.1;Tabtoxin biosynthesis intermediate 3;Otro;Estabilidad Máxima;0;474.72;-5.65;Moderately soluble;High;No;3.272727272727273;0.0104850250957185;Significant Increase;NON-Mutagenic;-2129.0;134726.0;134726.0;OTHER;5;10;10;10;10;10;55
780;StrainB;176.1;Tabtoxin biosynthesis intermediate 3;Otro;Estabilidad Máxima;0;234.21;3.4;Soluble;Low;No;3.408320493066255;0.0238438828663385;Significant Increase;NON-Mutagenic;-2129.0;134726.0;134726.0;OTHER;10;3;10;10;10;10;53
781;StrainD;379.665;Isomer 1 of Tabtoxin biosynthesis intermediate 4;Otro;Estabilidad Máxima;0;190.2;3.37;Soluble;High;No;2.381659388646288;0.0493388229917909;Significant Increase;NON-Mutagenic;-2363.0;230651.0;230651.0;OTHER;10;10;10;10;10;10;60
782;StrainC;330.2;Tabtoxin biosynthesis intermediate 5;Otro;Estabilidad Máxima;0;291.3;3.56;Soluble;Low;No;1.215984939243539;0.0140746866872318;Significant Increase;NON-Mutagenic;-2599.0;396922.0;396922.0;OTHER;10;3;10;10;10;10;53
783;StrainD;139.99;Tabtoxin biosynthesis intermediate 6;Otro;Estabilidad Máxima;0;273.29;1.81;Soluble;Low;No;2.446009389671361;0.0206624637637293;Significant Increase;Mutagenic;-2.39;245729.0;245729.0;OTHER;10;3;10;10;10;10;53
784;StrainC;139.99;Tabtoxin biosynthesis intermediate 6;Otro;Estabilidad Máxima;0;273.29;1.81;Soluble;Low;No;3.519953051643192;0.0009109054469391;Significant Increase;Mutagenic;-2.39;245729.0;245729.0;OTHER;10;3;10;10;10;10;53
785;StrainC;338.6;Trihomomethionine;Otro;Estabilidad Máxima;0;191.29;0.13;Soluble;High;No;2.933794893985288;0.0034245588931396;Significant Increase;NON-Mutagenic;0.289;0.514;0.514;OTHER;10;10;10;10;2;10;52
786;StrainB;338.6;Trihomomethionine;Otro;Estabilidad Máxima;0;191.29;0.13;Soluble;High;No;1.878696091158229;0.0030943184517122;Significant Increase;NON-Mutagenic;0.289;0.514;0.514;OTHER;10;10;10;10;2;10;52
